domain,label,bytes,t46,t47,ratio,bpt46,bpt47
misc/random,paren_semi,400,200,101,0.5050,2.000,3.960
thai,wiki_bangkok,11458,3446,3447,1.0003,3.325,3.324
cjk/zh,wiki_beijing,11368,4406,4408,1.0005,2.580,2.579
semitic/ar,wiki_quran,7287,2711,2714,1.0011,2.688,2.685
ru/classical,pushkin_dubrovsky,7238,1737,1740,1.0017,4.167,4.160
greek,wiki_athens,7242,2697,2702,1.0019,2.685,2.680
semitic/he,wiki_jerusalem,7092,2865,2874,1.0031,2.475,2.468
devanagari/hi,wiki_delhi,10314,2779,2791,1.0043,3.711,3.695
ru/biography,pushkin_wiki,7136,1736,1746,1.0058,4.111,4.087
cjk/ja,wiki_tokyo,11328,3775,3797,1.0058,3.001,2.983
ru/biography,dostoevsky_wiki,7267,1573,1585,1.0076,4.620,4.585
ru/modern,moscow_wiki,7247,1516,1532,1.0106,4.780,4.730
cjk/ko,wiki_seoul,9070,3938,3986,1.0122,2.303,2.275
cjk/ko,wiki_korean,9524,4023,4086,1.0157,2.367,2.331
ru/modern,ai_wiki_ru,7234,1440,1479,1.0271,5.024,4.891
data/json,synth,4000,1640,1812,1.1049,2.439,2.208
misc/emoji,launch,4335,1859,2069,1.1130,2.332,2.095
misc/math,cauchy_schwarz,2432,1357,1545,1.1385,1.792,1.574
cjk/ja,wiki_ja_xml,5284,1895,2258,1.1916,2.788,2.340
code/c,linux,4000,1658,2003,1.2081,2.413,1.997
data/logs,http_access,4000,2152,2624,1.2193,1.859,1.524
code/css,bootstrap,4000,1944,2431,1.2505,2.058,1.645
code/ruby,rails,4000,1106,1394,1.2604,3.617,2.869
code/py,pathlib,4000,1146,1448,1.2635,3.490,2.762
code/rust,vec,4000,1524,1933,1.2684,2.625,2.069
code/sql,pg_sql,4000,1640,2109,1.2860,2.439,1.897
code/html,mdn_html,4000,1255,1628,1.2972,3.187,2.457
cjk/zh,wiki_zh_xml,3311,1082,1412,1.3050,3.060,2.345
code/cpp,llvm,4000,1310,1713,1.3076,3.053,2.335
code/bash,ohmyzsh,4000,1635,2208,1.3505,2.446,1.812
code/py,asyncio,4000,1138,1545,1.3576,3.515,2.589
code/yaml,coredns,4000,1271,1726,1.3580,3.147,2.317
code/go,json_dec,4004,1111,1518,1.3663,3.604,2.638
en/modern,readme_whisper,4000,1033,1415,1.3698,3.872,2.827
en/modern,md_vscode,4002,1144,1586,1.3864,3.498,2.523
en/classical,sherlock,4012,1041,1445,1.3881,3.854,2.776
en/modern,wiki_ai,4002,1167,1627,1.3942,3.429,2.460
code/java,spring,4000,1141,1592,1.3953,3.506,2.513
en/modern,wiki_chatgpt,4004,868,1237,1.4251,4.613,3.237
en/classical,alice,4060,1072,1533,1.4300,3.787,2.648
code/ts,tsc,4000,1327,1906,1.4363,3.014,2.099
code/kotlin,descr,4000,1238,1859,1.5016,3.231,2.152
code/js,lodash,4000,1375,2072,1.5069,2.909,1.931
en/classical,mobydick,4024,1585,2430,1.5331,2.539,1.656
en/classical,tomsawyer,4210,1267,2015,1.5904,3.323,2.089
misc/random,hash_16,500,10,33,3.3000,50.000,15.152
